DESTINO,ORIGEN,UNIDAD MEDIDA,CANTIDAD,FOBDOL,FOBPES
USA,AXM,M3,84,111249,440089316
PAN,AXM,M3,10,8120,32122972
DEU,BOG,KG,294,1838,7245318
DEU,BOG,KG,195,679,2678303
DEU,BOG,KG,360,1918,7562732
DEU,BOG,KG,60,278,1094191
DEU,BOG,U,26,131,523725
DEU,BOG,U,299,1511,6042428
DEU,BOG,U,12,97,387456
DEU,BOG,U,3,21,85648
DEU,BOG,U,25453,13980,55900529
DEU,BOG,KG,8320,21815,85791181
DEU,BOG,U,2540,1495,5868005
DEU,BOG,U,40,2,7891
DEU,BOG,KG,36,15,58887
DEU,BOG,U,31,1500,5998815
DEU,BOG,U,3700,592,2324056
DEU,BOG,U,32840,5569,21866888
DEU,BOG,U,69,110274,436560253
DEU,BOG,U,1400,252,991013
DEU,BOG,U,25600,4411,17347441
DEU,BOG,U,500,1500,5974725
DEU,BOG,KG,31,2502,9965841
DEU,BOG,U,10600,1908,7629157
DEU,BOG,U,81040,14528,57782797
DEU,BOG,U,50136,13866,55148535
DEU,BOG,U,2310,372,1496031
DEU,BOG,U,11830,2096,8432246
DEU,BOG,KG,144,560,2234148
DEU,BOG,KG,1374,6064,24190636
DEU,BOG,KG,405,6055,24119328
DEU,BOG,KG,560,19389,77216693
DEU,BOG,KG,1,22500,89621313
DEU,BOG,U,11860,7616,30073660
DEU,BOG,U,216,11475,45403821
DEU,BOG,U,277,10214,40416088
DEU,BOG,U,771,14116,55855088
DEU,BOG,U,47,2640,10444699
DEU,BOG,U,110,3425,13553130
DEU,BOG,KG,147,33328,133293643
DEU,BOG,U,440,684,2734061
DEU,BOG,U,1780,12056,48204037
DEU,BOG,U,288,214,856878
DEU,BOG,U,54155,19841,78605491
DEU,BOG,U,7,383,1499610
DEU,BOG,U,1,50,195772
DEU,BOG,U,12420,2236,8845733
DEU,BOG,KG,525,5565,22162613
DEU,BOG,KG,172,1486,5980381
DEU,BOG,U,5600,1064,4119223
DEU,BOG,U,8400,1592,6163348
DEU,BOG,U,5680,966,3860961
DEU,BOG,U,17160,3256,13019149
DEU,BOG,U,75940,13993,54935836
DEU,BOG,U,13410,2426,9574007
DEU,BOG,U,99968,18204,73079992
DEU,BOG,U,17163,18415,72847609
DEU,BOG,U,19280,2668,10536126
DEU,BOG,U,51040,7528,29616256
DEU,BOG,U,3660,659,2634218
DEU,BOG,U,20020,5137,20540346
DEU,BOG,U,1800,917,3628349
DEU,BOG,C/T,84,135475,548026180
DEU,BOG,U,7100,2767,10860800
DEU,BOG,KG,1,972,3870865
DEU,BOG,KG,2160,9490,36269726
DEU,BOG,KG,6,23,88718
DEU,BOG,KG,3,2,7765
DEU,BOG,KG,36,149,587511
DEU,BOG,KG,9400,42159,163199624
DEU,BOG,U,3200,800,3192704
DEU,BOG,KG,21,112,449191
DEU,BOG,KG,108,470,1887292
DEU,BOG,KG,38,110,437837
DEU,BOG,KG,50,438,1760154
DEU,BOG,KG,35,181,726592
DEU,BOG,KG,32,207,833086
DEU,BOG,KG,50,172,687744
DEU,BOG,KG,388,2683,10766905
DEU,BOG,KG,385,2231,8923975
DEU,BOG,KG,38,119,473823
DEU,BOG,KG,29,243,971638
DEU,BOG,KG,37,164855,648305433
DEU,BOG,KG,98,11632,46526153
DEU,BOG,KG,82,4363,17453127
DEU,BOG,U,1,8487,33373925
DEU,BOG,U,465,25101,98710762
DEU,BOG,KG,2,5,19224
DEU,BOG,U,2,1971,7881721
DEU,BOG,U,12,11263,45043490
DEU,BOG,U,8460,1354,5354679
DEU,BOG,U,87120,16499,65516123
DEU,BOG,U,2,91000,353010550
DEU,BOG,U,4080,555,2195527
DEU,BOG,U,6800,925,3659212
DEU,BOG,U,15300,3825,15265116
DEU,BOG,U,24140,6035,24084961
DEU,BOG,U,4200,672,2658351
DEU,BOG,U,48160,7706,30482429
DEU,BOG,U,17700,4386,17504560
DEU,BOG,U,2400,707,2738393
DEU,BOG,U,985,6163,24194521
DEU,BOG,U,150,679,2628327
DEU,BOG,U,22900,3294,12929203
DEU,BOG,M3,2898,2648878,10476910283
DEU,BOG,KG,307,25974,103458338
DEU,BOG,U,1970685,11658,46612950
DEU,BOG,KG,322,10299,41024214
DEU,BOG,U,675500,3152,12396192
ARM,BOG,U,2000,340,1367891
ARM,BOG,U,67,158,631365
ARM,BOG,U,1214,3656,14617753
