DESTINO,ORIGEN,UNIDAD MEDIDA,CANTIDAD,FOBDOL,FOBPES
USA,AXM,M3,95,104645,422470536
PAN,AXM,M3,12,12125,48952665
DEU,BOG,KG,480,3000,12111570
DEU,BOG,KG,90,635,2561597
DEU,BOG,KG,60,228,920479
DEU,BOG,KG,270,941,3796977
DEU,BOG,KG,1204,6903,27612298
DEU,BOG,KG,64,296,1195008
DEU,BOG,U,32,9256,36845082
DEU,BOG,U,9,5175,20599967
DEU,BOG,U,9,3267,13004849
DEU,BOG,U,16,4560,18151855
DEU,BOG,U,1380,1094,4347840
DEU,BOG,U,28995,15999,65473597
DEU,BOG,U,50,4930,20294789
DEU,BOG,U,245,54726,225284504
DEU,BOG,U,20,6256,25753387
DEU,BOG,U,20,3604,14836190
DEU,BOG,U,20,4216,17355543
DEU,BOG,U,20,3332,13716478
DEU,BOG,U,20,3332,13716478
DEU,BOG,U,100,7780,32027070
DEU,BOG,KG,1088,157775,636965634
DEU,BOG,U,1,2526,10080297
DEU,BOG,KG,27,60,247063
DEU,BOG,KG,9,20,82354
DEU,BOG,U,1300,200,811388
DEU,BOG,U,38160,6102,24935734
DEU,BOG,U,62,99872,405667866
DEU,BOG,U,5600,1008,4098316
DEU,BOG,U,12480,2246,9133391
DEU,BOG,U,13,1484,5883801
DEU,BOG,U,2560,461,1870917
DEU,BOG,U,50,18500,74688015
DEU,BOG,U,44787,13918,56397252
DEU,BOG,U,1800,297,1181121
DEU,BOG,U,10080,1808,7210408
DEU,BOG,KG,17,50,199764
DEU,BOG,KG,38,104,412211
DEU,BOG,KG,20,50,198179
DEU,BOG,KG,82,320,1268342
DEU,BOG,KG,24,88,348794
DEU,BOG,KG,120,583,2310761
DEU,BOG,KG,1198,5380,21324403
DEU,BOG,KG,13,70,277450
DEU,BOG,KG,8,29,112962
DEU,BOG,U,2,287,1183314
DEU,BOG,U,1,568,2339582
DEU,BOG,U,1,194,799401
DEU,BOG,U,986,88155,362897703
DEU,BOG,U,9,326,1340156
DEU,BOG,U,1,41,168863
DEU,BOG,U,2,6331,26063613
DEU,BOG,U,6,6874,28296781
DEU,BOG,U,1,372,1531010
DEU,BOG,U,5,8753,36012709
DEU,BOG,U,19660,6549,26330876
DEU,BOG,U,3,2238,9052867
DEU,BOG,U,2,747,2960708
DEU,BOG,U,4,450,1787799
DEU,BOG,U,1,1457,5997872
DEU,BOG,U,1,374,1540387
DEU,BOG,U,38,7457,30514581
DEU,BOG,U,1,50,200253
DEU,BOG,U,1,50,200253
DEU,BOG,U,21600,2943,11881046
DEU,BOG,U,58200,8776,35547304
DEU,BOG,KG,560,4922,20140648
DEU,BOG,KG,810,3487,13914183
DEU,BOG,U,3,10316,41005041
DEU,BOG,U,4,13933,56388384
DEU,BOG,U,5,18860,76329911
DEU,BOG,U,6000,1140,4648282
DEU,BOG,U,14400,2736,11155876
DEU,BOG,KG,0,27,106493
DEU,BOG,U,1,83,329257
DEU,BOG,U,1,514,2044667
DEU,BOG,KG,5,21,85186
DEU,BOG,U,16,95,379343
DEU,BOG,KG,8,39,153359
DEU,BOG,KG,3,23,90274
DEU,BOG,KG,1,8,31960
DEU,BOG,KG,2,2,6837
DEU,BOG,U,2,51,203167
DEU,BOG,U,2,73,289665
DEU,BOG,U,2,355,1409726
DEU,BOG,U,1,122,485597
DEU,BOG,U,1,74,292209
DEU,BOG,U,1,334,1329032
DEU,BOG,U,20,643,2555824
DEU,BOG,U,1,26,102239
DEU,BOG,U,29,5556,22086196
DEU,BOG,KG,0,2,8586
DEU,BOG,U,2,9498,39078390
DEU,BOG,U,1,1824,7502860
DEU,BOG,U,5,14005,57619150
DEU,BOG,U,145,725,2941282
DEU,BOG,U,2,21968,87323982
DEU,BOG,U,101,6315,25102216
DEU,BOG,U,16,26255,106187801
DEU,BOG,U,24320,4717,19232469
DEU,BOG,U,3231,4972,19773047
DEU,BOG,U,58360,10577,43436054
DEU,BOG,U,1,5471,21652485
DEU,BOG,U,10530,1895,7693329
DEU,BOG,U,79320,14443,57579527
DEU,BOG,U,2050,369,1467454
DEU,BOG,U,11100,2781,11058001
DEU,BOG,U,2250,1202,4918981
DEU,BOG,U,1,924,3657454
DEU,BOG,U,510,770,3062564
DEU,BOG,KG,978,5514,22482189
DEU,BOG,KG,300,1918,7899003
DEU,BOG,U,3,28040,111463153
DEU,BOG,U,11,113982,453086761
DEU,BOG,KG,1,44999,183219947
DEU,BOG,U,1,300,1213353
DEU,BOG,KG,1056,6336,26068141
DEU,BOG,KG,1836,9949,40708065
DEU,BOG,KG,200,1200,4937148
DEU,BOG,KG,1224,6357,26154542
DEU,BOG,KG,12,47,191233
DEU,BOG,KG,2139,12960,52717346
DEU,BOG,KG,597,1622,6579112
DEU,BOG,KG,16172,96475,392943488
DEU,BOG,U,6400,832,3332210
DEU,BOG,KG,9,48,189657
DEU,BOG,KG,48,291,1154192
DEU,BOG,KG,13,40,156561
DEU,BOG,KG,280,2114,8378987
DEU,BOG,KG,118,868,3441489
DEU,BOG,KG,25,129,511301
DEU,BOG,KG,34,216,857320
DEU,BOG,KG,263,1873,7423767
DEU,BOG,KG,145,958,3797695
DEU,BOG,KG,59,54077,219065628
DEU,BOG,U,400,114,460240
DEU,BOG,U,10440,1670,6743722
DEU,BOG,U,91440,13691,55141540
DEU,BOG,KG,559,4740,19398995
DEU,BOG,U,2720,370,1497107
DEU,BOG,U,4420,606,2450687
DEU,BOG,U,5780,751,3009402
DEU,BOG,U,9520,1238,4956662
DEU,BOG,U,4760,1483,5901343
DEU,BOG,U,11970,1915,7591029
DEU,BOG,U,58440,9350,37060965
DEU,BOG,U,8160,2448,9767251
DEU,BOG,U,4,4400,17981766
DEU,BOG,KG,1820,14875,58958104
DEU,BOG,U,1280,13,51071
DEU,BOG,U,16070,4557,18435491
DEU,BOG,U,8050,2459,9790060
DEU,BOG,M3,3334,2858384,11575369464
DEU,BOG,KG,435,8232,33294892
DEU,BOG,U,2261524,30131,122504692
DEU,BOG,U,107804,1112,4496039
ARM,BOG,U,50,1,2028
ARM,BOG,U,100,10,39807
ARM,BOG,U,70,7,27865
ARM,BOG,U,60,6,23884
ARM,BOG,KG,12,15,59710
ARM,BOG,U,400,68,270306
ARM,BOG,U,8640,2678,10813210
ARM,BOG,U,400,74,301731
ARM,BOG,U,1800,331,1349633
ARM,BOG,U,560,1838,7474548
ARM,BOG,U,60,138,561079
ARM,BOG,U,970,155,617206
ARM,BOG,U,38505,5842,23233693
ARM,BOG,U,400,4,15907
ARM,BOG,U,2900,437,1773004
ARM,BOG,U,3950,580,2351240
ARM,BOG,U,200,64,258380
ARM,BOG,U,800,144,572413
ARM,BOG,U,1050,160,649347
ARM,BOG,U,2100,325,1319999
ARM,BOG,U,76,2,6171
ABW,BOG,U,1,76,303299
ABW,BOG,U,4,182,723466
ABW,BOG,U,240,10598,42128004
ABW,BOG,U,9,748,2971777
ABW,BOG,U,3,183,726249
ABW,BOG,U,2,127,506426
ABW,BOG,U,9,422,1677885
ABW,BOG,U,3,205,815291
ABW,BOG,U,33,2272,9032199
ABW,BOG,U,25,998,3965152
ABW,BOG,U,15,108,428515
ABW,BOG,U,1,18,72347
ABW,BOG,U,2842,799,3242469
ABW,BOG,U,2639,803,3255775
ABW,BOG,U,1734,899,3646215
ABW,BOG,KG,184,705,2861076
ABW,BOG,U,1500,2858,11559210
ABW,BOG,U,2,7225,28720025
ABW,BOG,U,1,5054,20090105
ABW,BOG,KG,600,3600,14363604
ABW,BOG,KG,73,3948,15624326
ABW,BOG,KG,106,5000,19789483
ABW,BOG,KG,158,3617,14313513
ABW,BOG,KG,205,9321,36890374
ABW,BOG,KG,63,3664,14500636
ABW,BOG,KG,10,3,12180
ABW,BOG,U,9868,6221,25116328
ABW,BOG,U,219,285,1150034
ABW,BOG,U,877,1139,4600095
ABW,BOG,U,1316,524,2116012
ABW,BOG,U,657,456,1839990
ABW,BOG,U,25655,5663,22864545
ABW,BOG,KG,112,1738,7015102
ABW,BOG,KG,10,4,16020
ABW,BOG,KG,9,4,16020
ABW,BOG,KG,26,8,32040
ABW,BOG,KG,10,4,16020
ABW,BOG,KG,5,2,8010
ABW,BOG,L,13,4,16020
ABW,BOG,L,12,2,8010
ABW,BOG,U,4325,1384,5627053
ABW,BOG,U,3280,1459,5931174
ABW,BOG,U,6160,1544,6231726
ABW,BOG,U,804,427,1724647
ABW,BOG,U,268,57,229958
ABW,BOG,U,536,114,459917
ABW,BOG,U,7767,1677,6772023
ABW,BOG,KG,105,997,4024150
ABW,BOG,U,1,2003,8020934
ABW,BOG,KG,90,184,741135
ABW,BOG,KG,75,170,683459
ABW,BOG,KG,252,549,2211129
ABW,BOG,U,29600,44566,178966386
ABW,BOG,U,1160,162,662845
ABW,BOG,U,5700,1896,7603896
ABW,BOG,U,1280,323,1316953
ABW,BOG,U,4850,2600,10443844
ABW,BOG,U,100,18,74119
ABW,BOG,U,2700,1314,5273260
ABW,BOG,U,255,150,613091
ABW,BOG,U,2584,2764,11073408
ABW,BOG,KG,212,3742,15156034
ABW,BOG,KG,30,61,250901
ABW,BOG,KG,25,57,231339
ABW,BOG,KG,84,183,749142
ABW,BOG,KG,63,239,950047
ABW,BOG,KG,2,23,89599
ABW,BOG,KG,67,357,1417756
ABW,BOG,KG,8,40,160395
ABW,BOG,KG,1058,5150,20470243
ABW,BOG,KG,10,61,244055
ABW,BOG,KG,105,57,225027
ABW,BOG,KG,27,183,728701
ABW,BOG,M3,560,466202,1869878521
BIH,BOG,U,800,136,552947
BIH,BOG,U,400,60,242158
BIH,BOG,U,800,115,466753
BIH,BOG,U,39910,11157,44350079
BIH,BOG,U,11700,1404,5581026
AIA,BOG,M3,2,1730,6885285
ATG,BOG,U,2,366,1465051
ATG,BOG,U,70,5255,21044908
ATG,BOG,U,232,4580,18344456
ATG,BOG,U,6,426,1707597
ATG,BOG,U,6,279,1117412
ATG,BOG,U,150,2058,8241212
ATG,BOG,U,20,880,3523572
ATG,BOG,U,116,4927,19734132
ATG,BOG,U,158,2353,9425268
ATG,BOG,U,41,2831,11337324
ATG,BOG,U,142,1394,5581692
ATG,BOG,U,6,115,460181
SAU,BOG,U,4968,3372,13801301
SAU,BOG,U,1400,900,3654135
SAU,BOG,U,4800,576,2329638
SAU,BOG,U,26619,20228,82469404
SAU,BOG,KG,602,4409,17882806
SAU,BOG,KG,120,485,1921539
SAU,BOG,KG,46,272,1077536
SAU,BOG,KG,40,183,725333
SAU,BOG,KG,53,222,878961
SAU,BOG,KG,81,250,989902
SAU,BOG,KG,25,149,588590
SAU,BOG,KG,57,290,1151219
SAU,BOG,KG,20,90,356721
SAU,BOG,U,3180,2203,8942886
SAU,BOG,U,3934,3390,13606905
SAU,BOG,KG,85,744,2968478
SAU,BOG,U,13450,4754,19573534
SAU,BOG,U,2400,456,1877676
SAU,BOG,U,300,96,395300
SAU,BOG,U,800,256,1054134
SAU,BOG,U,1290,1259,5182138
SAU,BOG,U,1000,334,1375315
SAU,BOG,KG,1430,4050,16676726
SAU,BOG,U,1,13078,53323456
SAU,BOG,U,89,10549,42690940
SAU,BOG,U,10,7832,31131315
SAU,BOG,KG,12960,65027,259449779
SAU,BOG,KG,28,80,323756
SAU,BOG,KG,10880,36260,147985018
SAU,BOG,KG,90,398,1638516
SAU,BOG,KG,300,754,3080697
SAU,BOG,KG,98,129,524571
SAU,BOG,KG,60,340,1399105
SAU,BOG,KG,375,2007,8206320
SAU,BOG,KG,76,263,1074211
SAU,BOG,KG,2720,25845,104559259
SAU,BOG,KG,7970,35930,142824984
SAU,BOG,KG,1440,20640,82686730
SAU,BOG,U,2,3796,15089442
SAU,BOG,KG,70,568,2292761
ARG,BOG,U,25480,2548,10099176
ARG,BOG,U,31650,9234,37787552
ARG,BOG,U,26200,5134,20726933
ARG,BOG,U,58800,10022,39837358
ARG,BOG,KG,80,1210,4893857
ARG,BOG,U,150,5965,24410748
ARG,BOG,KG,24,25290,102601757
ARG,BOG,U,6,7299,28931286
ARG,BOG,U,278,3414,14054038
ARG,BOG,KG,441,5918,23890799
ARG,BOG,KG,960,20723,83703340
ARG,BOG,KG,4,2540,10173413
ARG,BOG,KG,73,1328,5363044
ARG,BOG,M2,9533,68659,279952219
ARG,BOG,U,3,4516,18230416
ARG,BOG,U,1,959,3880814
ARG,BOG,U,2,5906,23842554
ARG,BOG,KG,4,620,2501039
ARG,BOG,KG,1,200,805419
ARG,BOG,KG,1,228,921448
ARG,BOG,U,1700,102,405459
ARG,BOG,U,10,63,255150
ARG,BOG,U,2,2,9851
ARG,BOG,U,10,2124,8573498
ARG,BOG,KG,0,18,70974
ARG,BOG,U,126,8,30052
ARG,BOG,KG,0,38,151435
ARG,BOG,KG,24,1532,6183481
ARG,BOG,KG,0,46,184500
ARG,BOG,KG,0,0,1938
ARG,BOG,U,2,6747,27238033
ARG,BOG,U,1,20810,84013924
ARG,BOG,M3,0,41,166736
