DESTINO,ORIGEN,UNIDAD MEDIDA,CANTIDAD,FOBDOL,FOBPES
USA,AXM,M3,110,108083,457256555
PAN,AXM,M3,22,18547,78465124
DEU,BOG,KG,576,4476,18142684
DEU,BOG,KG,84,525,2221070
DEU,BOG,KG,30,114,482290
DEU,BOG,KG,90,314,1326296
DEU,BOG,KG,5,31,129880
DEU,BOG,KG,144,768,3249108
DEU,BOG,KG,8,37,156533
DEU,BOG,KG,32,33556,142239359
DEU,BOG,U,20,3280,13876401
DEU,BOG,U,50,7741,32750844
DEU,BOG,U,18,6624,28023561
DEU,BOG,U,25,6200,26229781
DEU,BOG,U,30,4920,20814601
DEU,BOG,U,35,6860,29021985
DEU,BOG,U,20,2560,10830362
DEU,BOG,KG,1031,107926,456245758
DEU,BOG,U,2,11612,48933125
DEU,BOG,U,8960,1613,6823128
DEU,BOG,U,140,200772,846571857
DEU,BOG,U,4900,882,3715425
DEU,BOG,U,14400,2592,10918800
DEU,BOG,U,10555,1892,8006464
DEU,BOG,U,37203,6639,28097488
DEU,BOG,U,58832,15774,66022338
DEU,BOG,U,2825,452,1912236
DEU,BOG,U,23620,4263,17894160
DEU,BOG,KG,9,18,76538
DEU,BOG,KG,50,144,614427
DEU,BOG,KG,78,195,829158
DEU,BOG,KG,20,75,318907
DEU,BOG,KG,271,1030,4381779
DEU,BOG,KG,99,367,1561367
DEU,BOG,KG,81,277,1177404
DEU,BOG,KG,196,1008,4286107
DEU,BOG,KG,1771,7254,30844661
DEU,BOG,KG,29,164,697343
DEU,BOG,KG,32,122,516629
DEU,BOG,KG,140,3177,13465131
DEU,BOG,KG,30,45145,190572836
DEU,BOG,C/T,285,98500,417526725
DEU,BOG,KG,0,61500,260689275
DEU,BOG,U,106196,28408,119702135
DEU,BOG,M2,10,620,2554414
DEU,BOG,U,270,9614,39617207
DEU,BOG,U,12,354,1456804
DEU,BOG,U,1,61,250534
DEU,BOG,U,32,150,637350
DEU,BOG,U,3,120,494474
DEU,BOG,U,1,3710,16274509
DEU,BOG,U,31,2410,10154151
DEU,BOG,U,4,328,1381592
DEU,BOG,U,27,3172,13366797
DEU,BOG,U,8,3407,13811566
DEU,BOG,U,24,1520,6377093
DEU,BOG,U,2,100,405376
DEU,BOG,U,2,5500,22662503
DEU,BOG,U,37600,6812,28848854
DEU,BOG,U,11520,2074,8735040
DEU,BOG,U,63680,11504,48459926
DEU,BOG,U,4400,836,3552164
DEU,BOG,U,8800,1672,7104328
DEU,BOG,U,5476,931,3921500
DEU,BOG,U,16438,3464,14591258
DEU,BOG,U,2802,3966,16778345
DEU,BOG,U,1,2402,9948709
DEU,BOG,U,1,362,1499115
DEU,BOG,U,1,2682,11107108
DEU,BOG,KG,50,434,1846499
DEU,BOG,KG,300,684,2908926
DEU,BOG,U,24480,4892,20786108
DEU,BOG,U,2250,672,2842970
DEU,BOG,U,26256,28492,120021960
DEU,BOG,U,23220,3200,13508872
DEU,BOG,U,70780,10801,45620438
DEU,BOG,U,1800,924,3918817
DEU,BOG,KG,1550,10123,42949605
DEU,BOG,KG,0,55000,222956800
DEU,BOG,U,2714,3215,14101533
